Version,1
Sampling cycle,1000us
Out count,1
Data count,3402
First index,256367

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
257249,-1.8176,GO
257250,-1.8179,GO
257251,-1.8179,GO
257252,-1.8179,GO
257253,-1.8179,GO
257254,-1.8179,GO
257255,-1.8181,GO
257256,-1.8186,GO
257257,-1.8186,GO
257258,-1.8191,GO
257259,-1.8191,GO
257260,-1.8191,GO
257261,-1.8194,GO
257262,-1.8194,GO
257263,-1.8194,GO
257264,-1.8196,GO
257265,-1.8196,GO
257266,-1.8194,GO
257267,-1.8196,GO
257268,-1.8196,GO
257269,-1.8196,GO
257270,-1.8196,GO
257271,-1.8196,GO
257272,-1.8199,GO
257273,-1.8196,GO
257274,-1.8196,GO
257275,-1.8194,GO
257276,-1.8194,GO
257277,-1.8194,GO
257278,-1.8194,GO
257279,-1.8194,GO
257280,-1.8194,GO
257281,-1.8191,GO
257282,-1.8194,GO
257283,-1.8191,GO
257284,-1.8191,GO
257285,-1.8191,GO
257286,-1.8191,GO
257287,-1.8189,GO
257288,-1.8189,GO
257289,-1.8186,GO
257290,-1.8184,GO
257291,-1.8184,GO
257292,-1.8181,GO
257293,-1.8179,GO
257294,-1.8179,GO
257295,-1.8176,GO
257296,-1.8176,GO
257297,-1.8173,GO
257298,-1.8173,GO
257299,-1.8173,GO
257300,-1.8176,GO
257301,-1.8173,GO
257302,-1.8173,GO
257303,-1.8171,GO
257304,-1.8168,GO
257305,-1.8168,GO
257306,-1.8168,GO
257307,-1.8166,GO
257308,-1.8166,GO
257309,-1.8163,GO
257310,-1.8163,GO
257311,-1.8161,GO
257312,-1.8158,GO
257313,-1.8161,GO
257314,-1.8161,GO
257315,-1.8161,GO
257316,-1.8163,GO
257317,-1.8163,GO
257318,-1.8161,GO
257319,-1.8161,GO
257320,-1.8161,GO
257321,-1.8163,GO
257322,-1.8161,GO
257323,-1.8161,GO
257324,-1.8161,GO
257325,-1.8163,GO
257326,-1.8163,GO
257327,-1.8166,GO
257328,-1.8168,GO
257329,-1.8168,GO
257330,-1.8168,GO
257331,-1.8166,GO
257332,-1.8168,GO
257333,-1.8168,GO
257334,-1.8168,GO
257335,-1.8168,GO
257336,-1.8168,GO
257337,-1.8171,GO
257338,-1.8171,GO
257339,-1.8168,GO
257340,-1.8168,GO
257341,-1.8168,GO
257342,-1.8171,GO
257343,-1.8171,GO
257344,-1.8171,GO
257345,-1.8171,GO
257346,-1.8171,GO
257347,-1.8171,GO
257348,-1.8168,GO
257349,-1.8171,GO
257350,-1.8168,GO
257351,-1.8168,GO
257352,-1.8168,GO
257353,-1.8166,GO
257354,-1.8166,GO
257355,-1.8163,GO
257356,-1.8161,GO
257357,-1.8161,GO
257358,-1.8158,GO
257359,-1.8158,GO
257360,-1.8156,GO
257361,-1.8153,GO
257362,-1.8153,GO
257363,-1.8150,GO
257364,-1.8150,GO
257365,-1.8150,GO
257366,-1.8148,GO
257367,-1.8148,GO
257368,-1.8150,GO
257369,-1.8150,GO
257370,-1.8150,GO
257371,-1.8150,GO
257372,-1.8148,GO
257373,-1.8145,GO
257374,-1.8148,GO
257375,-1.8148,GO
257376,-1.8150,GO
257377,-1.8153,GO
257378,-1.8153,GO
257379,-1.8153,GO
257380,-1.8156,GO
257381,-1.8156,GO
257382,-1.8158,GO
257383,-1.8158,GO
257384,-1.8161,GO
257385,-1.8161,GO
257386,-1.8163,GO
257387,-1.8163,GO
257388,-1.8166,GO
257389,-1.8168,GO
257390,-1.8168,GO
257391,-1.8171,GO
257392,-1.8173,GO
257393,-1.8173,GO
257394,-1.8173,GO
257395,-1.8176,GO
257396,-1.8179,GO
257397,-1.8181,GO
257398,-1.8184,GO
257399,-1.8186,GO
257400,-1.8184,GO
257401,-1.8186,GO
257402,-1.8186,GO
257403,-1.8186,GO
257404,-1.8186,GO
257405,-1.8186,GO
257406,-1.8186,GO
257407,-1.8186,GO
257408,-1.8186,GO
257409,-1.8184,GO
257410,-1.8184,GO
257411,-1.8181,GO
257412,-1.8181,GO
257413,-1.8181,GO
257414,-1.8184,GO
257415,-1.8181,GO
257416,-1.8181,GO
257417,-1.8179,GO
257418,-1.8176,GO
257419,-1.8176,GO
257420,-1.8173,GO
257421,-1.8171,GO
257422,-1.8168,GO
257423,-1.8166,GO
257424,-1.8166,GO
257425,-1.8166,GO
257426,-1.8163,GO
257427,-1.8161,GO
257428,-1.8161,GO
257429,-1.8161,GO
