Version,1
Sampling cycle,1000us
Out count,1
Data count,23821
First index,885114

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
885972,-2.9158,GO
885973,-2.9158,GO
885974,-2.9158,GO
885975,-2.9156,GO
885976,-2.9158,GO
885977,-2.9156,GO
885978,-2.9156,GO
885979,-2.9156,GO
885980,-2.9156,GO
885981,-2.9158,GO
885982,-2.9156,GO
885983,-2.9158,GO
885984,-2.9158,GO
885985,-2.9161,GO
885986,-2.9161,GO
885987,-2.9161,GO
885988,-2.9161,GO
885989,-2.9164,GO
885990,-2.9161,GO
885991,-2.9161,GO
885992,-2.9161,GO
885993,-2.9161,GO
885994,-2.9161,GO
885995,-2.9164,GO
885996,-2.9166,GO
885997,-2.9164,GO
885998,-2.9164,GO
885999,-2.9164,GO
886000,-2.9166,GO
886001,-2.9166,GO
886002,-2.9164,GO
886003,-2.9166,GO
886004,-2.9166,GO
886005,-2.9166,GO
886006,-2.9169,GO
886007,-2.9169,GO
886008,-2.9171,GO
886009,-2.9171,GO
886010,-2.9171,GO
886011,-2.9171,GO
886012,-2.9171,GO
886013,-2.9169,GO
886014,-2.9171,GO
886015,-2.9169,GO
886016,-2.9171,GO
886017,-2.9174,GO
886018,-2.9174,GO
886019,-2.9171,GO
886020,-2.9171,GO
886021,-2.9171,GO
886022,-2.9174,GO
886023,-2.9176,GO
886024,-2.9176,GO
886025,-2.9179,GO
886026,-2.9179,GO
886027,-2.9181,GO
886028,-2.9179,GO
886029,-2.9179,GO
886030,-2.9179,GO
886031,-2.9181,GO
886032,-2.9179,GO
886033,-2.9181,GO
886034,-2.9181,GO
886035,-2.9179,GO
886036,-2.9176,GO
886037,-2.9179,GO
886038,-2.9176,GO
886039,-2.9179,GO
886040,-2.9179,GO
886041,-2.9179,GO
886042,-2.9176,GO
886043,-2.9179,GO
886044,-2.9179,GO
886045,-2.9179,GO
886046,-2.9181,GO
886047,-2.9179,GO
886048,-2.9181,GO
886049,-2.9181,GO
886050,-2.9184,GO
886051,-2.9184,GO
886052,-2.9184,GO
886053,-2.9184,GO
886054,-2.9184,GO
886055,-2.9187,GO
886056,-2.9187,GO
886057,-2.9187,GO
886058,-2.9189,GO
886059,-2.9187,GO
886060,-2.9187,GO
886061,-2.9189,GO
886062,-2.9192,GO
886063,-2.9189,GO
886064,-2.9189,GO
886065,-2.9192,GO
886066,-2.9192,GO
886067,-2.9192,GO
886068,-2.9189,GO
886069,-2.9189,GO
886070,-2.9192,GO
886071,-2.9189,GO
886072,-2.9189,GO
886073,-2.9189,GO
886074,-2.9189,GO
886075,-2.9187,GO
886076,-2.9187,GO
886077,-2.9189,GO
886078,-2.9189,GO
886079,-2.9187,GO
886080,-2.9187,GO
886081,-2.9184,GO
886082,-2.9181,GO
886083,-2.9184,GO
886084,-2.9184,GO
886085,-2.9184,GO
886086,-2.9181,GO
886087,-2.9181,GO
886088,-2.9179,GO
886089,-2.9174,GO
886090,-2.9174,GO
886091,-2.9174,GO
886092,-2.9174,GO
886093,-2.9174,GO
886094,-2.9171,GO
886095,-2.9171,GO
